asins,n_reviews,categories,brand,mean_rating,cluster,cluster_name,rankable,name
B00QL1ZN3G,15,"Electronics,eBook Readers & Accessories,Power Adapters,Computers/Tablets & Networking,Tablet & eBook Reader Accs,Chargers & Sync Cables,Power Adapters & Cables,Kindle Store,Amazon Device Accessories,Kindle Fire (2nd Generation) Accessories,Fire Tablet Accessories",Amazon,3.066666666666667,1,Accessories & Cables,True,Amazon
B01BH83OOM,636,"Featured Brands,Electronics,Amazon Devices,Home,Home Improvement,Home Safety & Security,Home Security,Alarms & Sensors,Smart Home & Home Automation Devices,Mobile,Mobile Speakers,Mobile Bluetooth Speakers,Smart Hubs & Wireless Routers,Smart Hubs,Home, Garage & Office,Smart Home,Voice Assistants,Smart Home & Connected Living,Amazon Tap,Portable Audio,MP3 Accessories,Speakers,Amazon Echo,Electronics Features,TVs & Electronics,Portable Audio & Electronics,MP3 Player Accessories,Home Theater & Audio,Kindle Store,Frys,Electronic Components,Home Automation,Electronics, Tech Toys, Movies, Music,Audio,Bluetooth Speakers",Amazon Echo,4.531446540880503,2,"Echo, Fire TV & Smart Home",True,Amazon Echo
B00TSUGXKE,372,"Electronics Features,Fire Tablets,Computers & Tablets,Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",Amazon,4.424731182795699,0,Fire Tablets,True,"Echo (White),,,
Echo (White),,,"
B00ZV9PXP2,212,"Electronics,iPad & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,E-Readers & Accessories,E-Readers,Used:Computers Accessories,Used:Tablets,Computers,iPads Tablets,Kindle E-readers,Electronics Features",Amazon,4.533018867924528,3,Kindle E-Readers,True,"Amazon Kindle Fire Hd (3rd Generation) 8gb,,,
Amazon Kindle Fire Hd (3rd Generation) 8gb,,,"
